county_fips,state_alpha,county_name,year,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,yield_value,yield_unit,cv_mean
19998,IA,OTHER (COMBINED) COUNTIES,2019,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,191.2,BU / ACRE,
19021,IA,BUENA VISTA,2023,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,212,BU / ACRE,2.1
19021,IA,BUENA VISTA,2022,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,196.9,BU / ACRE,2.3
19021,IA,BUENA VISTA,2021,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,203.9,BU / ACRE,1.8
19021,IA,BUENA VISTA,2020,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,183.9,BU / ACRE,2.9
19021,IA,BUENA VISTA,2019,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,190.8,BU / ACRE,
19021,IA,BUENA VISTA,2018,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,193.1,BU / ACRE,
19021,IA,BUENA VISTA,2017,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,187.9,BU / ACRE,
19021,IA,BUENA VISTA,2016,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,201.1,BU / ACRE,
19021,IA,BUENA VISTA,2015,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,202.7,BU / ACRE,
19021,IA,BUENA VISTA,2014,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,172.1,BU / ACRE,
19021,IA,BUENA VISTA,2013,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,160.5,BU / ACRE,
19021,IA,BUENA VISTA,2012,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,148.2,BU / ACRE,
19021,IA,BUENA VISTA,2011,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,180.2,BU / ACRE,
19021,IA,BUENA VISTA,2010,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,178.3,BU / ACRE,
19021,IA,BUENA VISTA,2009,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,190.7,BU / ACRE,
19021,IA,BUENA VISTA,2008,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,179,BU / ACRE,
19021,IA,BUENA VISTA,2007,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,163,BU / ACRE,
19021,IA,BUENA VISTA,2006,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,143.3,BU / ACRE,
19021,IA,BUENA VISTA,2005,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,185.3,BU / ACRE,
19035,IA,CHEROKEE,2024,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,207.1,BU / ACRE,2.9
19035,IA,CHEROKEE,2023,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,211.7,BU / ACRE,4.1
19035,IA,CHEROKEE,2022,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,198.7,BU / ACRE,2.6
19035,IA,CHEROKEE,2020,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,185.7,BU / ACRE,2.1
19035,IA,CHEROKEE,2019,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,208.9,BU / ACRE,
19035,IA,CHEROKEE,2018,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,213.3,BU / ACRE,
19035,IA,CHEROKEE,2017,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,203.7,BU / ACRE,
19035,IA,CHEROKEE,2016,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,219.7,BU / ACRE,
19035,IA,CHEROKEE,2015,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,209.6,BU / ACRE,
19035,IA,CHEROKEE,2014,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,183.6,BU / ACRE,
19035,IA,CHEROKEE,2013,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,185.1,BU / ACRE,
19035,IA,CHEROKEE,2012,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,158.7,BU / ACRE,
19035,IA,CHEROKEE,2011,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,176.7,BU / ACRE,
19035,IA,CHEROKEE,2010,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,186.9,BU / ACRE,
19035,IA,CHEROKEE,2009,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,201.9,BU / ACRE,
19035,IA,CHEROKEE,2008,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,196,BU / ACRE,
19035,IA,CHEROKEE,2007,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,166.5,BU / ACRE,
19035,IA,CHEROKEE,2006,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,144.4,BU / ACRE,
19035,IA,CHEROKEE,2005,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,185.5,BU / ACRE,
19041,IA,CLAY,2024,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,176.1,BU / ACRE,2.7
19041,IA,CLAY,2023,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,203.9,BU / ACRE,3.4
19041,IA,CLAY,2022,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,191.4,BU / ACRE,2
19041,IA,CLAY,2021,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,203.3,BU / ACRE,2
19041,IA,CLAY,2020,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,168.1,BU / ACRE,3.4
