crop,feature,category,iqr,yield_change,pct_change
CORN,TMIN,climate,3.614,-7.13,-3.87
CORN,TMAX,climate,4.735,-30.14,-16.35
CORN,PRCP,climate,251.423,-4.98,-2.7
CORN,VPD,climate,0.493,-6.59,-3.57
CORN,ETO,climate,192.997,-16.25,-8.82
CORN,SRAD,climate,22.68,8.75,4.75
CORN,evi_min_year,vegetation,0.093,-9.16,-4.97
CORN,evi_max_year,vegetation,0.153,19.98,10.84
CORN,ndvi_min_year,vegetation,0.142,-3.69,-2.0
CORN,ndvi_max_year,vegetation,0.127,5.68,3.08
CORN,clay_mean,soil,8.364,-14.16,-7.68
CORN,ph_mean,soil,0.517,0.78,0.42
CORN,soc_mean,soil,11.244,-0.79,-0.43
CORN,bdod_mean,soil,0.072,-8.26,-4.48
COTTON_UPLAND,TMIN,climate,3.882,194.92,31.25
COTTON_UPLAND,TMAX,climate,2.277,34.45,5.52
COTTON_UPLAND,PRCP,climate,286.359,10.31,1.65
COTTON_UPLAND,VPD,climate,0.597,-12.31,-1.97
COTTON_UPLAND,ETO,climate,204.628,-9.31,-1.49
COTTON_UPLAND,SRAD,climate,13.813,-67.41,-10.81
COTTON_UPLAND,evi_min_year,vegetation,0.109,45.55,7.3
COTTON_UPLAND,evi_max_year,vegetation,0.204,162.81,26.11
COTTON_UPLAND,ndvi_min_year,vegetation,0.195,6.73,1.08
COTTON_UPLAND,ndvi_max_year,vegetation,0.255,40.37,6.47
COTTON_UPLAND,clay_mean,soil,7.003,9.03,1.45
COTTON_UPLAND,ph_mean,soil,1.101,49.68,7.97
COTTON_UPLAND,soc_mean,soil,14.743,156.07,25.03
COTTON_UPLAND,bdod_mean,soil,0.068,-92.88,-14.89
OATS,TMIN,climate,2.316,-8.27,-11.01
OATS,TMAX,climate,3.264,-2.53,-3.37
OATS,PRCP,climate,241.779,-1.77,-2.36
OATS,VPD,climate,0.429,-1.87,-2.49
OATS,ETO,climate,162.673,0.95,1.26
OATS,SRAD,climate,14.056,0.68,0.9
OATS,evi_min_year,vegetation,0.08,-1.18,-1.57
OATS,evi_max_year,vegetation,0.144,2.67,3.56
OATS,ndvi_min_year,vegetation,0.117,-2.44,-3.26
OATS,ndvi_max_year,vegetation,0.089,0.66,0.88
OATS,clay_mean,soil,8.74,1.29,1.71
OATS,ph_mean,soil,0.485,1.08,1.43
OATS,soc_mean,soil,15.408,2.93,3.9
OATS,bdod_mean,soil,0.11,-1.65,-2.2
SORGHUM,TMIN,climate,5.738,0.78,1.23
SORGHUM,TMAX,climate,2.79,-2.31,-3.65
SORGHUM,PRCP,climate,231.526,-4.45,-7.02
SORGHUM,VPD,climate,0.528,-3.02,-4.77
SORGHUM,ETO,climate,194.704,-2.61,-4.12
SORGHUM,SRAD,climate,14.577,0.61,0.97
SORGHUM,evi_min_year,vegetation,0.116,1.4,2.21
SORGHUM,evi_max_year,vegetation,0.17,15.37,24.26
SORGHUM,ndvi_min_year,vegetation,0.19,4.91,7.76
SORGHUM,ndvi_max_year,vegetation,0.207,4.97,7.85
SORGHUM,clay_mean,soil,7.766,3.47,5.47
SORGHUM,ph_mean,soil,0.981,-0.84,-1.33
SORGHUM,soc_mean,soil,12.957,1.05,1.65
SORGHUM,bdod_mean,soil,0.115,-1.04,-1.64
SOYBEANS,TMIN,climate,3.316,-1.24,-2.1
SOYBEANS,TMAX,climate,3.84,-6.91,-11.67
SOYBEANS,PRCP,climate,225.652,-1.71,-2.89
SOYBEANS,VPD,climate,0.331,-3.62,-6.11
SOYBEANS,ETO,climate,139.095,-0.53,-0.9
SOYBEANS,SRAD,climate,16.734,0.48,0.81
SOYBEANS,evi_min_year,vegetation,0.097,-1.97,-3.33
SOYBEANS,evi_max_year,vegetation,0.113,0.68,1.15
SOYBEANS,ndvi_min_year,vegetation,0.143,-2.54,-4.3
SOYBEANS,ndvi_max_year,vegetation,0.074,2.81,4.75
SOYBEANS,clay_mean,soil,8.226,-4.66,-7.87
SOYBEANS,ph_mean,soil,0.395,-1.14,-1.92
SOYBEANS,soc_mean,soil,12.835,-1.19,-2.01
SOYBEANS,bdod_mean,soil,0.069,0.49,0.82
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,3.45,-0.97,-1.85
WHEAT_SPRING_EXCL_DURUM,TMAX,climate,2.391,-2.32,-4.41
WHEAT_SPRING_EXCL_DURUM,PRCP,climate,373.802,-2.12,-4.04
WHEAT_SPRING_EXCL_DURUM,VPD,climate,0.412,0.62,1.18
WHEAT_SPRING_EXCL_DURUM,ETO,climate,119.295,-0.82,-1.56
WHEAT_SPRING_EXCL_DURUM,SRAD,climate,29.768,0.82,1.57
WHEAT_SPRING_EXCL_DURUM,evi_min_year,vegetation,0.068,2.15,4.1
WHEAT_SPRING_EXCL_DURUM,evi_max_year,vegetation,0.25,0.97,1.84
WHEAT_SPRING_EXCL_DURUM,ndvi_min_year,vegetation,0.101,-0.37,-0.7
WHEAT_SPRING_EXCL_DURUM,ndvi_max_year,vegetation,0.274,0.99,1.88
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,10.992,0.4,0.77
WHEAT_SPRING_EXCL_DURUM,ph_mean,soil,0.785,31.69,60.38
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,10.617,2.38,4.53
WHEAT_SPRING_EXCL_DURUM,bdod_mean,soil,0.122,1.5,2.86
