county_fips,state_alpha,county_name,year,commodity_desc,class_desc,prodn_practice_desc,irrigation,util_practice_desc,yield_value,yield_unit,cv_mean
31007,NE,BANNER,2008,BEANS,"DRY EDIBLE, GREAT NORTHERN",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2280.0,LB / ACRE,
31013,NE,BOX BUTTE,2008,BEANS,"DRY EDIBLE, GREAT NORTHERN",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2220.0,LB / ACRE,
31123,NE,MORRILL,2008,BEANS,"DRY EDIBLE, GREAT NORTHERN",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2270.0,LB / ACRE,
31157,NE,SCOTTS BLUFF,2008,BEANS,"DRY EDIBLE, GREAT NORTHERN",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2320.0,LB / ACRE,
31161,NE,SHERIDAN,2008,BEANS,"DRY EDIBLE, GREAT NORTHERN",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2490.0,LB / ACRE,
31007,NE,BANNER,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2170.0,LB / ACRE,
31013,NE,BOX BUTTE,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2180.0,LB / ACRE,
31049,NE,DEUEL,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2300.0,LB / ACRE,
31123,NE,MORRILL,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2290.0,LB / ACRE,
31157,NE,SCOTTS BLUFF,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2330.0,LB / ACRE,
31161,NE,SHERIDAN,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2260.0,LB / ACRE,
31031,NE,CHERRY,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2220.0,LB / ACRE,
31029,NE,CHASE,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2580.0,LB / ACRE,
31057,NE,DUNDY,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2730.0,LB / ACRE,
31085,NE,HAYES,2008,BEANS,"DRY EDIBLE, INCL CHICKPEAS",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2400.0,LB / ACRE,
31013,NE,BOX BUTTE,2008,BEANS,"DRY EDIBLE, PINTO",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2060.0,LB / ACRE,
31049,NE,DEUEL,2008,BEANS,"DRY EDIBLE, PINTO",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2300.0,LB / ACRE,
31157,NE,SCOTTS BLUFF,2008,BEANS,"DRY EDIBLE, PINTO",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2370.0,LB / ACRE,
31161,NE,SHERIDAN,2008,BEANS,"DRY EDIBLE, PINTO",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,1970.0,LB / ACRE,
31031,NE,CHERRY,2008,BEANS,"DRY EDIBLE, PINTO",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2240.0,LB / ACRE,
31029,NE,CHASE,2008,BEANS,"DRY EDIBLE, PINTO",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2480.0,LB / ACRE,
31057,NE,DUNDY,2008,BEANS,"DRY EDIBLE, PINTO",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2740.0,LB / ACRE,
31085,NE,HAYES,2008,BEANS,"DRY EDIBLE, PINTO",IRRIGATED,irrigated,ALL UTILIZATION PRACTICES,2400.0,LB / ACRE,
31007,NE,BANNER,2014,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,144.7,BU / ACRE,
31007,NE,BANNER,2012,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,143.0,BU / ACRE,
31007,NE,BANNER,2010,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,143.1,BU / ACRE,
31007,NE,BANNER,2008,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,136.0,BU / ACRE,
31013,NE,BOX BUTTE,2017,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,171.2,BU / ACRE,
31013,NE,BOX BUTTE,2015,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,164.1,BU / ACRE,
31013,NE,BOX BUTTE,2014,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,180.6,BU / ACRE,
31013,NE,BOX BUTTE,2013,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,165.4,BU / ACRE,
31013,NE,BOX BUTTE,2012,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,153.8,BU / ACRE,
31013,NE,BOX BUTTE,2011,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,163.9,BU / ACRE,
31013,NE,BOX BUTTE,2010,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,162.2,BU / ACRE,
31013,NE,BOX BUTTE,2009,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,158.9,BU / ACRE,
31013,NE,BOX BUTTE,2008,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,147.0,BU / ACRE,
31033,NE,CHEYENNE,2011,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,137.6,BU / ACRE,
31033,NE,CHEYENNE,2010,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,160.3,BU / ACRE,
31033,NE,CHEYENNE,2008,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,157.0,BU / ACRE,
31045,NE,DAWES,2014,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,176.8,BU / ACRE,
31045,NE,DAWES,2013,CORN,ALL CLASSES,IRRIGATED,irrigated,GRAIN,115.3,BU / ACRE,
