trend,dropped_year,n_pairs,r2_irrigated,r2_non_irrigated,r2_gap
none,none,867,0.166,0.685,0.519
none,2008,793,0.253,0.727,0.474
none,2009,776,0.127,0.689,0.562
none,2010,769,0.219,0.7,0.481
none,2011,767,0.094,0.709,0.615
none,2012,768,0.151,0.306,0.155
none,2013,783,0.201,0.731,0.53
none,2014,792,0.166,0.709,0.543
none,2015,806,0.154,0.689,0.535
none,2016,797,0.169,0.691,0.522
none,2017,799,0.167,0.697,0.53
none,2018,820,0.175,0.691,0.516
linear,none,867,0.253,0.699,0.446
linear,2008,793,0.282,0.721,0.439
linear,2009,776,0.106,0.697,0.591
linear,2010,769,0.272,0.706,0.434
linear,2011,767,0.222,0.738,0.516
linear,2012,768,0.267,0.321,0.054
linear,2013,783,0.294,0.757,0.463
linear,2014,792,0.265,0.725,0.46
linear,2015,806,0.251,0.707,0.456
linear,2016,797,0.269,0.707,0.438
linear,2017,799,0.268,0.708,0.44
linear,2018,820,0.258,0.708,0.45
