crop,feature,category,feature_value,ale_effect
CORN,ph_mean,soil,5.4756,-11.173
CORN,ph_mean,soil,5.8694,-4.727
CORN,ph_mean,soil,5.9621,1.832
CORN,ph_mean,soil,6.0101,4.477
CORN,ph_mean,soil,6.0557,4.936
CORN,ph_mean,soil,6.1107,4.9
CORN,ph_mean,soil,6.1542,5.219
CORN,ph_mean,soil,6.1949,5.427
CORN,ph_mean,soil,6.2383,3.866
CORN,ph_mean,soil,6.2896,4.35
CORN,ph_mean,soil,6.3513,4.205
CORN,ph_mean,soil,6.437,3.826
CORN,ph_mean,soil,6.5404,4.05
CORN,ph_mean,soil,6.6164,4.489
CORN,ph_mean,soil,6.7124,3.87
CORN,ph_mean,soil,6.7939,3.117
CORN,ph_mean,soil,6.977,-1.994
CORN,ph_mean,soil,7.122,-11.353
CORN,ph_mean,soil,7.2458,-13.66
CORN,ph_mean,soil,7.3507,-14.29
CORN,ph_mean,soil,7.8208,-14.003
CORN,TMIN,climate,6.1997,-32.253
CORN,TMIN,climate,8.7805,-13.543
CORN,TMIN,climate,9.7601,-6.343
CORN,TMIN,climate,10.4618,-0.396
CORN,TMIN,climate,10.9198,0.388
CORN,TMIN,climate,11.297,1.085
CORN,TMIN,climate,11.6383,1.868
CORN,TMIN,climate,11.9325,2.845
CORN,TMIN,climate,12.1821,3.167
CORN,TMIN,climate,12.4265,3.366
CORN,TMIN,climate,12.6706,3.436
CORN,TMIN,climate,12.9191,3.286
CORN,TMIN,climate,13.1497,3.418
CORN,TMIN,climate,13.3846,3.527
CORN,TMIN,climate,13.6277,3.468
CORN,TMIN,climate,13.9157,2.955
CORN,TMIN,climate,14.2737,1.738
CORN,TMIN,climate,14.6525,0.284
CORN,TMIN,climate,15.1056,0.208
CORN,TMIN,climate,15.7401,0.7
CORN,TMIN,climate,18.6808,1.377
CORN,clay_mean,soil,12.3633,-4.211
CORN,clay_mean,soil,16.5078,-0.849
CORN,clay_mean,soil,19.2388,1.737
CORN,clay_mean,soil,20.2035,1.332
CORN,clay_mean,soil,21.0105,2.659
CORN,clay_mean,soil,21.5622,2.987
CORN,clay_mean,soil,22.1214,2.858
CORN,clay_mean,soil,22.8842,2.811
CORN,clay_mean,soil,23.3187,3.607
CORN,clay_mean,soil,23.9423,3.857
CORN,clay_mean,soil,24.4091,0.163
CORN,clay_mean,soil,24.8957,-0.031
CORN,clay_mean,soil,25.3684,-0.431
CORN,clay_mean,soil,25.9197,-0.215
CORN,clay_mean,soil,26.5805,-0.426
CORN,clay_mean,soil,27.2621,-1.099
CORN,clay_mean,soil,27.9337,-1.88
CORN,clay_mean,soil,28.9121,-2.952
CORN,clay_mean,soil,29.6861,-4.07
CORN,clay_mean,soil,30.4277,-5.036
CORN,clay_mean,soil,40.7655,-6.07
CORN,TMAX_MAX,climate,29.1816,-6.291
CORN,TMAX_MAX,climate,32.3886,-3.163
