crop,detrend,predictor_set,r2_lo,r2_hi,skill_lo,skill_hi,gain_vs_climate_lo,gain_vs_climate_hi,p_gain_le_0
CORN,none,global_mean,-0.322,-0.174,-1.235,-0.963,-0.642,-0.552,1.0
CORN,none,county_mean,0.35,0.46,0.0,0.0,0.011,0.098,0.013
CORN,none,county_mean_trend,0.653,0.708,0.415,0.507,0.28,0.383,0.0
CORN,none,climate_placebo,0.324,0.43,-0.121,0.024,0.022,0.034,0.0
CORN,none,climate_only,0.293,0.404,-0.171,-0.019,,,
CORN,none,climate_soil,0.529,0.609,0.231,0.316,0.19,0.245,0.0
CORN,none,climate_veg,0.684,0.737,0.467,0.557,0.32,0.404,0.0
CORN,none,all_features,0.749,0.791,0.58,0.643,0.379,0.464,0.0
CORN,none,SOIL_MINUS_PLACEBO,0.163,0.217,,,0.163,0.217,0.0
CORN,county,global_mean,-0.052,-0.019,-0.493,-0.226,-0.123,-0.057,1.0
CORN,county,county_mean,0.158,0.302,0.0,0.0,0.107,0.248,0.0
CORN,county,county_mean_trend,0.166,0.307,0.006,0.01,0.112,0.254,0.0
CORN,county,climate_placebo,0.049,0.123,-0.3,-0.099,0.018,0.043,0.0
CORN,county,climate_only,0.021,0.09,-0.355,-0.127,,,
CORN,county,climate_soil,0.098,0.17,-0.231,-0.033,0.063,0.099,0.0
CORN,county,climate_veg,0.007,0.092,-0.355,-0.14,-0.028,0.015,0.697
CORN,county,all_features,0.087,0.176,-0.233,-0.046,0.048,0.104,0.0
CORN,county,SOIL_MINUS_PLACEBO,0.031,0.068,,,0.031,0.068,0.0
OATS,none,global_mean,-0.22,-0.061,-0.802,-0.399,-0.176,0.006,0.966
OATS,none,county_mean,0.188,0.373,0.0,0.0,0.232,0.425,0.0
OATS,none,county_mean_trend,0.211,0.387,0.021,0.032,0.253,0.445,0.0
OATS,none,climate_placebo,-0.098,0.07,-0.578,-0.254,0.015,0.056,0.001
OATS,none,climate_only,-0.136,0.034,-0.649,-0.3,,,
OATS,none,climate_soil,0.216,0.369,-0.075,0.103,0.272,0.416,0.0
OATS,none,climate_veg,0.192,0.342,-0.138,0.085,0.239,0.388,0.0
OATS,none,all_features,0.297,0.429,0.029,0.195,0.341,0.487,0.0
OATS,none,SOIL_MINUS_PLACEBO,0.248,0.37,,,0.248,0.37,0.0
OATS,county,global_mean,-0.251,-0.081,-0.413,-0.15,-0.128,-0.009,0.983
OATS,county,county_mean,-0.02,0.19,0.0,0.0,0.079,0.264,0.0
OATS,county,county_mean_trend,-0.008,0.198,0.008,0.013,0.089,0.273,0.0
OATS,county,climate_placebo,-0.161,0.024,-0.289,-0.064,0.004,0.033,0.007
OATS,county,climate_only,-0.182,0.007,-0.316,-0.079,,,
OATS,county,climate_soil,-0.075,0.115,-0.162,0.021,0.073,0.148,0.0
OATS,county,climate_veg,-0.008,0.158,-0.105,0.082,0.12,0.212,0.0
OATS,county,all_features,0.036,0.194,-0.046,0.114,0.158,0.257,0.0
OATS,county,SOIL_MINUS_PLACEBO,0.057,0.124,,,0.057,0.124,0.0
SORGHUM,none,global_mean,-0.369,-0.078,-0.575,-0.141,-0.567,-0.399,1.0
SORGHUM,none,county_mean,-0.044,0.263,0.0,0.0,-0.31,-0.046,0.995
SORGHUM,none,county_mean_trend,-0.643,-0.099,-0.618,-0.415,-0.861,-0.433,1.0
SORGHUM,none,climate_placebo,0.158,0.394,0.062,0.305,-0.014,0.013,0.52
SORGHUM,none,climate_only,0.157,0.393,0.06,0.313,,,
SORGHUM,none,climate_soil,0.122,0.375,0.033,0.274,-0.053,-0.002,0.982
SORGHUM,none,climate_veg,0.257,0.487,0.173,0.41,0.037,0.159,0.0
SORGHUM,none,all_features,0.262,0.492,0.183,0.408,0.044,0.162,0.001
SORGHUM,none,SOIL_MINUS_PLACEBO,-0.05,-0.005,,,-0.05,-0.005,0.991
SORGHUM,county,global_mean,-1.117,-0.433,-0.277,-0.107,-0.359,-0.174,1.0
SORGHUM,county,county_mean,-0.827,-0.183,0.0,0.0,-0.107,0.128,0.526
SORGHUM,county,county_mean_trend,-0.962,-0.264,-0.077,-0.063,-0.223,0.028,0.95
SORGHUM,county,climate_placebo,-0.847,-0.191,-0.089,0.069,-0.026,0.019,0.631
SORGHUM,county,climate_only,-0.848,-0.19,-0.091,0.07,,,
SORGHUM,county,climate_soil,-0.855,-0.186,-0.09,0.064,-0.028,0.018,0.721
SORGHUM,county,climate_veg,-0.776,-0.125,-0.045,0.124,0.02,0.122,0.01
SORGHUM,county,all_features,-0.763,-0.122,-0.04,0.124,0.032,0.119,0.0
SORGHUM,county,SOIL_MINUS_PLACEBO,-0.026,0.022,,,-0.026,0.022,0.606
SOYBEANS,none,global_mean,-0.129,-0.049,-1.571,-1.293,-0.52,-0.467,1.0
SOYBEANS,none,county_mean,0.521,0.583,0.0,0.0,0.115,0.179,0.0
SOYBEANS,none,county_mean_trend,0.53,0.604,-0.048,0.121,0.11,0.217,0.0
SOYBEANS,none,climate_placebo,0.382,0.46,-0.377,-0.217,0.01,0.02,0.0
SOYBEANS,none,climate_only,0.365,0.445,-0.413,-0.245,,,
SOYBEANS,none,climate_soil,0.593,0.645,0.109,0.194,0.188,0.242,0.0
SOYBEANS,none,climate_veg,0.678,0.722,0.281,0.377,0.257,0.333,0.0
SOYBEANS,none,all_features,0.746,0.779,0.435,0.501,0.32,0.392,0.0
SOYBEANS,none,SOIL_MINUS_PLACEBO,0.174,0.226,,,0.174,0.226,0.0
SOYBEANS,county,global_mean,-0.372,-0.27,-0.32,-0.119,-0.014,0.064,0.116
SOYBEANS,county,county_mean,-0.184,0.006,0.0,0.0,0.167,0.342,0.0
SOYBEANS,county,county_mean_trend,-0.177,0.011,0.005,0.006,0.174,0.348,0.0
SOYBEANS,county,climate_placebo,-0.394,-0.267,-0.314,-0.133,0.007,0.024,0.0
SOYBEANS,county,climate_only,-0.408,-0.285,-0.334,-0.143,,,
SOYBEANS,county,climate_soil,-0.318,-0.173,-0.234,-0.073,0.073,0.121,0.0
SOYBEANS,county,climate_veg,-0.364,-0.224,-0.276,-0.108,0.024,0.079,0.0
SOYBEANS,county,all_features,-0.303,-0.148,-0.2,-0.063,0.079,0.16,0.0
SOYBEANS,county,SOIL_MINUS_PLACEBO,0.061,0.102,,,0.061,0.102,0.0
WHEAT_SPRING_EXCL_DURUM,none,global_mean,-0.076,-0.0,-1.089,-0.591,-0.41,-0.245,1.0
WHEAT_SPRING_EXCL_DURUM,none,county_mean,0.358,0.509,0.0,0.0,0.026,0.25,0.012
WHEAT_SPRING_EXCL_DURUM,none,county_mean_trend,0.377,0.53,-0.045,0.104,0.033,0.277,0.005
WHEAT_SPRING_EXCL_DURUM,none,climate_placebo,0.246,0.417,-0.425,-0.007,0.01,0.047,0.0
