crop,detrend,split_scheme,predictor_set,n_folds,r2,r2_fold_sd,rmse,residual_r2,skill_vs_county_mean
CORN,none,temporal,global_mean,1,-0.239,0.0,42.27,-2.768,-1.105
CORN,none,temporal,county_mean,1,0.412,0.0,29.13,-0.79,0.0
CORN,none,temporal,county_mean_trend,1,0.683,0.0,21.36,0.037,0.462
CORN,none,temporal,climate_placebo,1,0.384,0.0,29.81,-0.874,-0.047
CORN,none,temporal,climate_only,1,0.356,0.0,30.48,-0.959,-0.095
CORN,none,temporal,climate_soil,1,0.574,0.0,24.8,-0.297,0.275
CORN,none,temporal,climate_veg,1,0.714,0.0,20.31,0.13,0.514
CORN,none,temporal,all_features,1,0.772,0.0,18.11,0.308,0.613
CORN,none,loyo,global_mean,18,-0.252,0.387,37.22,-2.865,-1.552
CORN,none,loyo,county_mean,18,0.425,0.45,24.47,-0.627,0.0
CORN,none,loyo,county_mean_trend,18,0.536,0.373,21.7,-0.263,0.121
CORN,none,loyo,climate_placebo,18,0.301,0.226,27.33,-1.164,-0.471
CORN,none,loyo,climate_only,18,0.263,0.226,28.09,-1.288,-0.556
CORN,none,loyo,climate_soil,18,0.509,0.216,22.68,-0.476,0.011
CORN,none,loyo,climate_veg,18,0.639,0.122,19.62,-0.088,0.242
CORN,none,loyo,all_features,18,0.713,0.099,17.47,0.134,0.397
CORN,none,spatial,global_mean,5,-0.001,0.001,37.89,-0.001,
CORN,none,spatial,county_mean,5,-0.001,0.001,37.89,-0.001,
CORN,none,spatial,county_mean_trend,5,0.1,0.012,35.92,0.1,
CORN,none,spatial,climate_placebo,5,0.629,0.021,23.06,0.629,
CORN,none,spatial,climate_only,5,0.663,0.021,21.98,0.663,
CORN,none,spatial,climate_soil,5,0.737,0.019,19.42,0.737,
CORN,none,spatial,climate_veg,5,0.802,0.018,16.82,0.802,
CORN,none,spatial,all_features,5,0.823,0.02,15.92,0.823,
CORN,county,temporal,global_mean,1,-0.035,0.0,25.2,-0.412,-0.358
CORN,county,temporal,county_mean,1,0.238,0.0,21.63,-0.04,0.0
CORN,county,temporal,county_mean_trend,1,0.244,0.0,21.54,-0.031,0.008
CORN,county,temporal,climate_placebo,1,0.087,0.0,23.67,-0.245,-0.198
CORN,county,temporal,climate_only,1,0.056,0.0,24.06,-0.287,-0.238
CORN,county,temporal,climate_soil,1,0.138,0.0,23.0,-0.176,-0.131
CORN,county,temporal,climate_veg,1,0.052,0.0,24.12,-0.294,-0.244
CORN,county,temporal,all_features,1,0.135,0.0,23.04,-0.18,-0.135
CORN,county,loyo,global_mean,18,-0.256,0.46,23.72,-0.52,-0.205
CORN,county,loyo,county_mean,18,-0.072,0.498,21.82,-0.285,0.0
CORN,county,loyo,county_mean_trend,18,-0.071,0.497,21.82,-0.284,0.001
CORN,county,loyo,climate_placebo,18,-0.065,0.287,21.64,-0.294,-0.064
CORN,county,loyo,climate_only,18,-0.087,0.277,21.86,-0.322,-0.09
CORN,county,loyo,climate_soil,18,-0.006,0.234,21.03,-0.223,-0.013
CORN,county,loyo,climate_veg,18,-0.02,0.296,21.2,-0.238,-0.016
CORN,county,loyo,all_features,18,0.109,0.225,19.78,-0.084,0.104
CORN,county,spatial,global_mean,5,-0.002,0.002,35.93,-0.002,
CORN,county,spatial,county_mean,5,-0.002,0.002,35.93,-0.002,
CORN,county,spatial,county_mean_trend,5,-0.002,0.002,35.93,-0.002,
CORN,county,spatial,climate_placebo,5,0.28,0.016,30.46,0.28,
CORN,county,spatial,climate_only,5,0.282,0.015,30.42,0.282,
CORN,county,spatial,climate_soil,5,0.286,0.014,30.33,0.286,
CORN,county,spatial,climate_veg,5,0.33,0.018,29.39,0.33,
CORN,county,spatial,all_features,5,0.336,0.017,29.26,0.336,
OATS,none,temporal,global_mean,1,-0.129,0.0,20.22,-0.853,-0.584
OATS,none,temporal,county_mean,1,0.287,0.0,16.06,-0.17,0.0
OATS,none,temporal,county_mean_trend,1,0.307,0.0,15.85,-0.139,0.027
OATS,none,temporal,climate_placebo,1,-0.005,0.0,19.08,-0.651,-0.411
OATS,none,temporal,climate_only,1,-0.042,0.0,19.42,-0.711,-0.462
OATS,none,temporal,climate_soil,1,0.3,0.0,15.93,-0.15,0.017
OATS,none,temporal,climate_veg,1,0.27,0.0,16.26,-0.198,-0.024
OATS,none,temporal,all_features,1,0.368,0.0,15.12,-0.037,0.114
OATS,none,loyo,global_mean,17,-0.107,0.134,17.43,-0.707,-0.484
OATS,none,loyo,county_mean,17,0.229,0.205,14.42,-0.161,0.0
OATS,none,loyo,county_mean_trend,17,0.234,0.222,14.36,-0.149,0.009
OATS,none,loyo,climate_placebo,17,0.008,0.239,16.4,-0.525,-0.322
OATS,none,loyo,climate_only,17,-0.056,0.248,16.92,-0.624,-0.408
OATS,none,loyo,climate_soil,17,0.254,0.192,14.19,-0.125,0.027
