crop,feature1,feature2,correlation
CORN,TMIN,TMAX,0.708
CORN,TMIN,GDD_TMAX,0.822
CORN,TMAX,VPD,0.778
CORN,TMAX,ETO,0.825
CORN,TMAX,GDD_TMAX,0.948
CORN,TMAX,EDD_TMAX,0.874
CORN,TMAX,HOT_DAY_FRAC,0.934
CORN,TMAX,TMAX_MAX,0.707
CORN,VPD,ETO,0.969
CORN,VPD,EDD_TMAX,0.923
CORN,VPD,HOT_DAY_FRAC,0.76
CORN,VPD,TMAX_MAX,0.85
CORN,ETO,SRAD,0.729
CORN,ETO,EDD_TMAX,0.915
CORN,ETO,HOT_DAY_FRAC,0.811
CORN,ETO,TMAX_MAX,0.813
CORN,GDD_TMAX,HOT_DAY_FRAC,0.862
CORN,EDD_TMAX,HOT_DAY_FRAC,0.877
CORN,EDD_TMAX,TMAX_MAX,0.888
CORN,HOT_DAY_FRAC,TMAX_MAX,0.74
OATS,TMIN,GDD_TMAX,0.787
OATS,TMAX,VPD,0.794
OATS,TMAX,ETO,0.842
OATS,TMAX,GDD_TMAX,0.958
OATS,TMAX,EDD_TMAX,0.832
OATS,TMAX,HOT_DAY_FRAC,0.894
OATS,TMAX,TMAX_MAX,0.722
OATS,VPD,ETO,0.971
OATS,VPD,EDD_TMAX,0.919
OATS,VPD,HOT_DAY_FRAC,0.829
OATS,VPD,TMAX_MAX,0.842
OATS,ETO,GDD_TMAX,0.714
OATS,ETO,EDD_TMAX,0.899
OATS,ETO,HOT_DAY_FRAC,0.856
OATS,ETO,TMAX_MAX,0.81
OATS,GDD_TMAX,HOT_DAY_FRAC,0.801
OATS,EDD_TMAX,HOT_DAY_FRAC,0.903
OATS,EDD_TMAX,TMAX_MAX,0.902
OATS,HOT_DAY_FRAC,TMAX_MAX,0.834
SORGHUM,TMIN,bdod_mean,0.71
SORGHUM,TMAX,VPD,0.877
SORGHUM,TMAX,ETO,0.876
SORGHUM,TMAX,GDD_TMAX,0.923
SORGHUM,TMAX,EDD_TMAX,0.953
SORGHUM,TMAX,HOT_DAY_FRAC,0.935
SORGHUM,TMAX,TMAX_MAX,0.797
SORGHUM,PRCP,VPD,-0.705
SORGHUM,VPD,ETO,0.967
SORGHUM,VPD,SRAD,0.72
SORGHUM,VPD,EDD_TMAX,0.943
SORGHUM,VPD,HOT_DAY_FRAC,0.826
SORGHUM,VPD,TMAX_MAX,0.851
SORGHUM,ETO,SRAD,0.816
SORGHUM,ETO,GDD_TMAX,0.715
SORGHUM,ETO,EDD_TMAX,0.913
SORGHUM,ETO,HOT_DAY_FRAC,0.855
SORGHUM,ETO,TMAX_MAX,0.795
SORGHUM,SRAD,HOT_DAY_FRAC,0.736
SORGHUM,GDD_TMAX,EDD_TMAX,0.765
SORGHUM,GDD_TMAX,HOT_DAY_FRAC,0.877
SORGHUM,EDD_TMAX,HOT_DAY_FRAC,0.891
SORGHUM,EDD_TMAX,TMAX_MAX,0.879
SORGHUM,HOT_DAY_FRAC,TMAX_MAX,0.747
SOYBEANS,TMIN,TMAX,0.752
SOYBEANS,TMIN,GDD_TMAX,0.854
SOYBEANS,TMAX,VPD,0.784
SOYBEANS,TMAX,ETO,0.834
SOYBEANS,TMAX,GDD_TMAX,0.948
SOYBEANS,TMAX,EDD_TMAX,0.873
SOYBEANS,TMAX,HOT_DAY_FRAC,0.937
SOYBEANS,TMAX,TMAX_MAX,0.711
SOYBEANS,VPD,ETO,0.968
SOYBEANS,VPD,EDD_TMAX,0.926
SOYBEANS,VPD,HOT_DAY_FRAC,0.752
SOYBEANS,VPD,TMAX_MAX,0.859
SOYBEANS,ETO,EDD_TMAX,0.917
SOYBEANS,ETO,HOT_DAY_FRAC,0.808
SOYBEANS,ETO,TMAX_MAX,0.823
SOYBEANS,GDD_TMAX,HOT_DAY_FRAC,0.87
SOYBEANS,EDD_TMAX,HOT_DAY_FRAC,0.871
SOYBEANS,EDD_TMAX,TMAX_MAX,0.891
SOYBEANS,HOT_DAY_FRAC,TMAX_MAX,0.737
WHEAT_SPRING_EXCL_DURUM,TMIN,TMAX,0.726
WHEAT_SPRING_EXCL_DURUM,TMIN,GDD_TMAX,0.803
WHEAT_SPRING_EXCL_DURUM,TMAX,VPD,0.764
WHEAT_SPRING_EXCL_DURUM,TMAX,ETO,0.832
WHEAT_SPRING_EXCL_DURUM,TMAX,GDD_TMAX,0.972
WHEAT_SPRING_EXCL_DURUM,TMAX,EDD_TMAX,0.794
WHEAT_SPRING_EXCL_DURUM,TMAX,HOT_DAY_FRAC,0.841
WHEAT_SPRING_EXCL_DURUM,VPD,ETO,0.965
WHEAT_SPRING_EXCL_DURUM,VPD,EDD_TMAX,0.933
WHEAT_SPRING_EXCL_DURUM,VPD,HOT_DAY_FRAC,0.884
WHEAT_SPRING_EXCL_DURUM,VPD,TMAX_MAX,0.799
WHEAT_SPRING_EXCL_DURUM,ETO,GDD_TMAX,0.739
WHEAT_SPRING_EXCL_DURUM,ETO,EDD_TMAX,0.893
WHEAT_SPRING_EXCL_DURUM,ETO,HOT_DAY_FRAC,0.886
WHEAT_SPRING_EXCL_DURUM,ETO,TMAX_MAX,0.751
WHEAT_SPRING_EXCL_DURUM,GDD_TMAX,HOT_DAY_FRAC,0.751
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,HOT_DAY_FRAC,0.944
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,TMAX_MAX,0.872
WHEAT_SPRING_EXCL_DURUM,HOT_DAY_FRAC,TMAX_MAX,0.861
