crop,feature,category,importance,importance_pct,method,importance_impurity
CORN,TMIN,climate,0.1404,14.04,permutation_test,0.1187
CORN,TMAX,climate,0.0557,5.57,permutation_test,0.076
CORN,PRCP,climate,0.0127,1.27,permutation_test,0.059
CORN,VPD,climate,0.0283,2.83,permutation_test,0.0712
CORN,ETO,climate,0.0183,1.83,permutation_test,0.0287
CORN,SRAD,climate,0.0305,3.05,permutation_test,0.0506
CORN,GDD_TMAX,climate,0.0383,3.83,permutation_test,0.0433
CORN,EDD_TMAX,climate,0.0515,5.15,permutation_test,0.0922
CORN,HOT_DAY_FRAC,climate,0.006,0.6,permutation_test,0.0301
CORN,TMAX_MAX,climate,0.1003,10.03,permutation_test,0.1345
CORN,clay_mean,soil,0.1267,12.67,permutation_test,0.0636
CORN,ph_mean,soil,0.2539,25.39,permutation_test,0.1281
CORN,soc_mean,soil,0.0421,4.21,permutation_test,0.0399
CORN,bdod_mean,soil,0.0954,9.54,permutation_test,0.0643
OATS,TMIN,climate,0.0605,6.05,permutation_test,0.093
OATS,TMAX,climate,0.0134,1.34,permutation_test,0.0334
OATS,PRCP,climate,0.0,0.0,permutation_test,0.0673
OATS,VPD,climate,0.0197,1.97,permutation_test,0.0552
OATS,ETO,climate,0.0306,3.06,permutation_test,0.0522
OATS,SRAD,climate,0.0063,0.63,permutation_test,0.0535
OATS,GDD_TMAX,climate,0.0355,3.55,permutation_test,0.0404
OATS,EDD_TMAX,climate,0.0029,0.29,permutation_test,0.0471
OATS,HOT_DAY_FRAC,climate,0.0017,0.17,permutation_test,0.0334
OATS,TMAX_MAX,climate,0.0177,1.77,permutation_test,0.0581
OATS,clay_mean,soil,0.5651,56.51,permutation_test,0.181
OATS,ph_mean,soil,0.1073,10.73,permutation_test,0.1104
OATS,soc_mean,soil,0.101,10.1,permutation_test,0.1148
OATS,bdod_mean,soil,0.0382,3.82,permutation_test,0.0604
SORGHUM,TMIN,climate,0.1366,13.66,permutation_test,0.0784
SORGHUM,TMAX,climate,0.024,2.4,permutation_test,0.1068
SORGHUM,PRCP,climate,0.1992,19.92,permutation_test,0.0719
SORGHUM,VPD,climate,0.2094,20.94,permutation_test,0.2903
SORGHUM,ETO,climate,0.0222,2.22,permutation_test,0.1176
SORGHUM,SRAD,climate,0.0472,4.72,permutation_test,0.0373
SORGHUM,GDD_TMAX,climate,0.171,17.1,permutation_test,0.0451
SORGHUM,EDD_TMAX,climate,0.0233,2.33,permutation_test,0.0466
SORGHUM,HOT_DAY_FRAC,climate,0.0465,4.65,permutation_test,0.0509
SORGHUM,TMAX_MAX,climate,0.0224,2.24,permutation_test,0.0356
SORGHUM,clay_mean,soil,0.0171,1.71,permutation_test,0.0224
SORGHUM,ph_mean,soil,0.0414,4.14,permutation_test,0.0366
SORGHUM,soc_mean,soil,0.0132,1.32,permutation_test,0.0277
SORGHUM,bdod_mean,soil,0.0266,2.66,permutation_test,0.0328
SOYBEANS,TMIN,climate,0.1228,12.28,permutation_test,0.1395
SOYBEANS,TMAX,climate,0.0677,6.77,permutation_test,0.0975
SOYBEANS,PRCP,climate,0.0103,1.03,permutation_test,0.0628
SOYBEANS,VPD,climate,0.0132,1.32,permutation_test,0.032
SOYBEANS,ETO,climate,0.0192,1.92,permutation_test,0.0281
SOYBEANS,SRAD,climate,0.0433,4.33,permutation_test,0.0454
SOYBEANS,GDD_TMAX,climate,0.0373,3.73,permutation_test,0.0387
SOYBEANS,EDD_TMAX,climate,0.0435,4.35,permutation_test,0.0819
SOYBEANS,HOT_DAY_FRAC,climate,0.0167,1.67,permutation_test,0.0724
SOYBEANS,TMAX_MAX,climate,0.0726,7.26,permutation_test,0.0669
SOYBEANS,clay_mean,soil,0.1417,14.17,permutation_test,0.0782
SOYBEANS,ph_mean,soil,0.2028,20.28,permutation_test,0.1329
SOYBEANS,soc_mean,soil,0.0451,4.51,permutation_test,0.0491
SOYBEANS,bdod_mean,soil,0.1638,16.38,permutation_test,0.0746
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,0.1998,19.98,permutation_test,0.1064
WHEAT_SPRING_EXCL_DURUM,TMAX,climate,0.0254,2.54,permutation_test,0.025
WHEAT_SPRING_EXCL_DURUM,PRCP,climate,0.0,0.0,permutation_test,0.047
WHEAT_SPRING_EXCL_DURUM,VPD,climate,0.0,0.0,permutation_test,0.047
WHEAT_SPRING_EXCL_DURUM,ETO,climate,0.0,0.0,permutation_test,0.0322
WHEAT_SPRING_EXCL_DURUM,SRAD,climate,0.0,0.0,permutation_test,0.0379
WHEAT_SPRING_EXCL_DURUM,GDD_TMAX,climate,0.0012,0.12,permutation_test,0.0482
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.1461,14.61,permutation_test,0.0983
WHEAT_SPRING_EXCL_DURUM,HOT_DAY_FRAC,climate,0.0476,4.76,permutation_test,0.0415
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,0.1092,10.92,permutation_test,0.1245
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,0.0547,5.47,permutation_test,0.0448
WHEAT_SPRING_EXCL_DURUM,ph_mean,soil,0.0478,4.78,permutation_test,0.0474
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,0.3538,35.38,permutation_test,0.2638
WHEAT_SPRING_EXCL_DURUM,bdod_mean,soil,0.0145,1.45,permutation_test,0.0361
