crop,feature_set,train_r2,test_r2,test_r2_sd,baseline_county_mean_r2,r2_vs_baseline,skill_vs_county_mean,skill_sd,spatial_cv_r2,r2_gap,mae,rmse,n_train,n_test,n_features,n_seeds,train_years,test_years
CORN,climate_only,0.862,0.355,0.003,0.412,-0.057,-0.097,0.006,0.663,0.507,24.71,30.51,11009,2800,10,5,2008-2021,2022-2025
CORN,climate_soil,0.909,0.573,0.002,0.412,0.161,0.274,0.003,0.737,0.336,20.35,24.83,11009,2800,14,5,2008-2021,2022-2025
CORN,climate_veg,0.924,0.713,0.001,0.412,0.302,0.513,0.001,0.802,0.211,15.53,20.34,11009,2800,16,5,2008-2021,2022-2025
CORN,all_features,0.939,0.772,0.001,0.412,0.36,0.612,0.001,0.823,0.167,14.24,18.14,11009,2800,20,5,2008-2021,2022-2025
OATS,climate_only,0.7,-0.043,0.005,0.287,-0.331,-0.464,0.007,0.295,0.743,15.55,19.44,2843,472,10,5,2008-2021,2022-2025
OATS,climate_soil,0.781,0.298,0.002,0.287,0.011,0.015,0.003,0.416,0.482,12.82,15.94,2843,472,14,5,2008-2021,2022-2025
OATS,climate_veg,0.768,0.269,0.005,0.287,-0.019,-0.026,0.007,0.418,0.499,13.0,16.27,2843,472,16,5,2008-2021,2022-2025
OATS,all_features,0.8,0.367,0.004,0.287,0.08,0.112,0.006,0.447,0.433,12.16,15.14,2843,472,20,5,2008-2021,2022-2025
SORGHUM,climate_only,0.849,0.295,0.006,0.125,0.169,0.194,0.007,0.629,0.554,17.86,21.84,1188,201,10,5,2008-2021,2022-2025
SORGHUM,climate_soil,0.868,0.267,0.006,0.125,0.142,0.163,0.007,0.639,0.6,18.06,22.26,1188,201,14,5,2008-2021,2022-2025
SORGHUM,climate_veg,0.873,0.393,0.006,0.125,0.267,0.306,0.006,0.673,0.48,16.36,20.26,1188,201,16,5,2008-2021,2022-2025
SORGHUM,all_features,0.884,0.397,0.008,0.125,0.271,0.31,0.009,0.679,0.487,16.23,20.2,1188,201,20,5,2008-2021,2022-2025
SOYBEANS,climate_only,0.853,0.407,0.001,0.554,-0.147,-0.329,0.003,0.644,0.445,7.68,9.5,10550,2683,10,5,2008-2021,2022-2025
SOYBEANS,climate_soil,0.9,0.621,0.001,0.554,0.067,0.149,0.003,0.725,0.28,6.2,7.6,10550,2683,14,5,2008-2021,2022-2025
SOYBEANS,climate_veg,0.914,0.701,0.001,0.554,0.147,0.329,0.002,0.777,0.213,5.2,6.75,10550,2683,16,5,2008-2021,2022-2025
SOYBEANS,all_features,0.93,0.763,0.001,0.554,0.208,0.467,0.003,0.803,0.167,4.74,6.01,10550,2683,20,5,2008-2021,2022-2025
WHEAT_SPRING_EXCL_DURUM,climate_only,0.816,0.311,0.001,0.446,-0.135,-0.244,0.002,0.535,0.505,8.76,10.63,1324,382,10,5,2008-2020,2021-2025
WHEAT_SPRING_EXCL_DURUM,climate_soil,0.852,0.439,0.004,0.446,-0.007,-0.012,0.007,0.594,0.413,7.95,9.59,1324,382,14,5,2008-2020,2021-2025
WHEAT_SPRING_EXCL_DURUM,climate_veg,0.864,0.508,0.002,0.446,0.062,0.112,0.003,0.643,0.356,7.31,8.99,1324,382,16,5,2008-2020,2021-2025
WHEAT_SPRING_EXCL_DURUM,all_features,0.879,0.585,0.003,0.446,0.139,0.252,0.005,0.668,0.294,6.79,8.25,1324,382,20,5,2008-2020,2021-2025
