crop,feature1,feature2,value1,value2,predicted_yield
CORN,ph_mean,TMIN,5.869,8.78,134.38
CORN,ph_mean,TMIN,5.869,9.554,139.22
CORN,ph_mean,TMIN,5.869,10.327,145.12
CORN,ph_mean,TMIN,5.869,11.1,145.5
CORN,ph_mean,TMIN,5.869,11.874,145.96
CORN,ph_mean,TMIN,5.869,12.647,146.63
CORN,ph_mean,TMIN,5.869,13.42,146.29
CORN,ph_mean,TMIN,5.869,14.194,145.71
CORN,ph_mean,TMIN,5.869,14.967,144.23
CORN,ph_mean,TMIN,5.869,15.74,144.32
CORN,ph_mean,TMIN,6.034,8.78,139.71
CORN,ph_mean,TMIN,6.034,9.554,145.23
CORN,ph_mean,TMIN,6.034,10.327,158.92
CORN,ph_mean,TMIN,6.034,11.1,160.95
CORN,ph_mean,TMIN,6.034,11.874,163.3
CORN,ph_mean,TMIN,6.034,12.647,163.5
CORN,ph_mean,TMIN,6.034,13.42,163.5
CORN,ph_mean,TMIN,6.034,14.194,161.81
CORN,ph_mean,TMIN,6.034,14.967,159.37
CORN,ph_mean,TMIN,6.034,15.74,159.24
CORN,ph_mean,TMIN,6.199,8.78,140.9
CORN,ph_mean,TMIN,6.199,9.554,146.48
CORN,ph_mean,TMIN,6.199,10.327,159.69
CORN,ph_mean,TMIN,6.199,11.1,161.7
CORN,ph_mean,TMIN,6.199,11.874,163.91
CORN,ph_mean,TMIN,6.199,12.647,164.08
CORN,ph_mean,TMIN,6.199,13.42,164.08
CORN,ph_mean,TMIN,6.199,14.194,162.34
CORN,ph_mean,TMIN,6.199,14.967,159.92
CORN,ph_mean,TMIN,6.199,15.74,159.71
CORN,ph_mean,TMIN,6.363,8.78,141.15
CORN,ph_mean,TMIN,6.363,9.554,146.77
CORN,ph_mean,TMIN,6.363,10.327,159.51
CORN,ph_mean,TMIN,6.363,11.1,161.49
CORN,ph_mean,TMIN,6.363,11.874,163.64
CORN,ph_mean,TMIN,6.363,12.647,163.76
CORN,ph_mean,TMIN,6.363,13.42,163.71
CORN,ph_mean,TMIN,6.363,14.194,161.67
CORN,ph_mean,TMIN,6.363,14.967,158.97
CORN,ph_mean,TMIN,6.363,15.74,158.74
CORN,ph_mean,TMIN,6.528,8.78,141.55
CORN,ph_mean,TMIN,6.528,9.554,147.16
CORN,ph_mean,TMIN,6.528,10.327,159.88
CORN,ph_mean,TMIN,6.528,11.1,161.77
CORN,ph_mean,TMIN,6.528,11.874,163.76
CORN,ph_mean,TMIN,6.528,12.647,163.95
CORN,ph_mean,TMIN,6.528,13.42,163.82
CORN,ph_mean,TMIN,6.528,14.194,161.72
CORN,ph_mean,TMIN,6.528,14.967,159.07
CORN,ph_mean,TMIN,6.528,15.74,158.81
CORN,ph_mean,TMIN,6.692,8.78,141.88
CORN,ph_mean,TMIN,6.692,9.554,147.46
CORN,ph_mean,TMIN,6.692,10.327,160.04
CORN,ph_mean,TMIN,6.692,11.1,161.9
CORN,ph_mean,TMIN,6.692,11.874,164.03
CORN,ph_mean,TMIN,6.692,12.647,164.2
CORN,ph_mean,TMIN,6.692,13.42,164.14
CORN,ph_mean,TMIN,6.692,14.194,161.99
CORN,ph_mean,TMIN,6.692,14.967,159.35
CORN,ph_mean,TMIN,6.692,15.74,159.05
CORN,ph_mean,TMIN,6.857,8.78,141.59
