crop,feature,category,yield_min,yield_max,yield_range,feature_at_min_yield,feature_at_max_yield,direction,has_peak
CORN,ph_mean,soil,134.8,160.3,25.5,7.351,6.649,negative,True
CORN,TMAX_MAX,climate,139.4,163.2,23.8,43.923,34.208,negative,True
CORN,TMIN,climate,136.9,159.8,22.9,8.78,12.444,positive,True
CORN,bdod_mean,soil,146.3,159.8,13.5,1.604,1.48,negative,True
CORN,clay_mean,soil,150.4,157.5,7.1,16.508,23.834,positive,True
OATS,clay_mean,soil,56.4,71.0,14.6,14.22,26.852,positive,True
OATS,soc_mean,soil,58.8,68.4,9.6,11.454,20.206,positive,True
OATS,ph_mean,soil,61.6,70.1,8.5,6.031,6.935,positive,True
OATS,TMIN,climate,63.1,68.0,4.9,7.976,11.566,positive,True
OATS,bdod_mean,soil,64.9,67.2,2.3,1.406,1.49,positive,True
SORGHUM,VPD,climate,56.9,84.1,27.2,2.136,1.081,negative,True
SORGHUM,PRCP,climate,71.4,81.7,10.3,1.49,3.414,positive,True
SORGHUM,TMIN,climate,73.8,82.0,8.2,10.586,13.088,positive,True
SORGHUM,GDD_TMAX,climate,75.5,81.5,6.0,16.732,14.902,negative,True
SORGHUM,SRAD,climate,77.4,81.0,3.7,268.034,241.443,negative,False
SOYBEANS,TMIN,climate,40.3,48.3,8.0,9.048,13.345,positive,True
SOYBEANS,ph_mean,soil,40.7,48.6,7.9,7.288,6.766,negative,True
SOYBEANS,bdod_mean,soil,44.1,48.5,4.4,1.609,1.494,negative,True
SOYBEANS,TMAX_MAX,climate,44.5,48.2,3.7,40.957,33.594,negative,True
SOYBEANS,clay_mean,soil,44.9,47.8,2.8,16.677,21.794,positive,True
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,37.4,50.5,13.1,11.904,33.834,positive,True
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,43.3,49.4,6.1,41.469,32.928,negative,True
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,43.0,49.1,6.1,7.02,10.297,positive,True
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,44.0,49.4,5.4,0.955,0.103,negative,False
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,46.1,49.0,2.9,18.684,32.249,positive,False
