crop,arm,year,n,q
CORN,climate_old,2022,334,1.0488
CORN,climate_old,2023,310,0.9705
CORN,climate_old,2024,256,0.9966
CORN,veg_old,2022,334,1.1058
CORN,veg_old,2023,310,1.1359
CORN,veg_old,2024,256,1.0644
CORN,soil_old,2022,334,0.9848
CORN,soil_old,2023,310,1.0211
CORN,soil_old,2024,256,1.0401
CORN,all_old,2022,334,1.1349
CORN,all_old,2023,310,1.1094
CORN,all_old,2024,256,1.0998
OATS,climate_old,2022,95,0.9985
OATS,climate_old,2023,53,0.9597
OATS,climate_old,2024,8,1.0298
OATS,veg_old,2022,95,0.9928
OATS,veg_old,2023,53,0.9888
OATS,veg_old,2024,8,1.1045
OATS,soil_old,2022,95,1.0174
OATS,soil_old,2023,53,0.9862
OATS,soil_old,2024,8,1.0586
OATS,all_old,2022,95,1.0002
OATS,all_old,2023,53,0.9424
OATS,all_old,2024,8,1.2079
SOYBEANS,climate_old,2022,325,1.0403
SOYBEANS,climate_old,2023,301,0.9825
SOYBEANS,climate_old,2024,239,1.003
SOYBEANS,veg_old,2022,325,1.1164
SOYBEANS,veg_old,2023,301,1.1217
SOYBEANS,veg_old,2024,239,1.0576
SOYBEANS,soil_old,2022,325,1.0237
SOYBEANS,soil_old,2023,301,1.009
SOYBEANS,soil_old,2024,239,1.0549
SOYBEANS,all_old,2022,325,1.162
SOYBEANS,all_old,2023,301,1.0812
SOYBEANS,all_old,2024,239,1.1501
WHEAT_SPRING_EXCL_DURUM,climate_old,2021,39,1.0089
WHEAT_SPRING_EXCL_DURUM,climate_old,2022,35,1.1101
WHEAT_SPRING_EXCL_DURUM,climate_old,2023,36,0.9825
WHEAT_SPRING_EXCL_DURUM,veg_old,2021,39,0.9662
WHEAT_SPRING_EXCL_DURUM,veg_old,2022,35,1.0049
WHEAT_SPRING_EXCL_DURUM,veg_old,2023,36,0.9869
WHEAT_SPRING_EXCL_DURUM,soil_old,2021,39,1.0313
WHEAT_SPRING_EXCL_DURUM,soil_old,2022,35,1.0736
WHEAT_SPRING_EXCL_DURUM,soil_old,2023,36,1.0245
WHEAT_SPRING_EXCL_DURUM,all_old,2021,39,0.9879
WHEAT_SPRING_EXCL_DURUM,all_old,2022,35,1.1631
WHEAT_SPRING_EXCL_DURUM,all_old,2023,36,0.9976
