crop,state,arm,n,q
CORN,IA,masked_1km,257,1.0292
CORN,IA,unmasked_native,257,1.1661
CORN,IA,unmasked_1km,257,1.1716
CORN,IA,archived,257,1.1811
CORN,IL,masked_1km,247,1.0075
CORN,IL,unmasked_native,247,1.121
CORN,IL,unmasked_1km,247,1.1186
CORN,IL,archived,247,1.1154
CORN,NE,masked_1km,199,1.0074
CORN,NE,unmasked_native,199,1.0967
CORN,NE,unmasked_1km,199,1.1023
CORN,NE,archived,199,1.1241
CORN,MN,masked_1km,197,0.9831
CORN,MN,unmasked_native,197,0.932
CORN,MN,unmasked_1km,197,0.9256
CORN,MN,archived,197,0.9469
OATS,IA,masked_1km,49,0.9946
OATS,IA,unmasked_native,49,1.0134
OATS,IA,unmasked_1km,49,0.9966
OATS,IA,archived,49,0.9957
OATS,IL,masked_1km,25,1.0159
OATS,IL,unmasked_native,25,1.0329
OATS,IL,unmasked_1km,25,1.0305
OATS,IL,archived,25,1.0706
OATS,MN,masked_1km,75,0.9976
OATS,MN,unmasked_native,75,1.0237
OATS,MN,unmasked_1km,75,1.0285
OATS,MN,archived,75,0.9837
SOYBEANS,IA,masked_1km,247,1.0184
SOYBEANS,IA,unmasked_native,247,1.1455
SOYBEANS,IA,unmasked_1km,247,1.1472
SOYBEANS,IA,archived,247,1.145
SOYBEANS,IL,masked_1km,243,1.026
SOYBEANS,IL,unmasked_native,243,1.155
SOYBEANS,IL,unmasked_1km,243,1.1567
SOYBEANS,IL,archived,243,1.1461
SOYBEANS,NE,masked_1km,172,1.0063
SOYBEANS,NE,unmasked_native,172,1.0792
SOYBEANS,NE,unmasked_1km,172,1.0768
SOYBEANS,NE,archived,172,1.1125
SOYBEANS,MN,masked_1km,203,0.9991
SOYBEANS,MN,unmasked_native,203,1.0254
SOYBEANS,MN,unmasked_1km,203,1.0247
SOYBEANS,MN,archived,203,0.9809
WHEAT_SPRING_EXCL_DURUM,MN,masked_1km,110,0.9986
WHEAT_SPRING_EXCL_DURUM,MN,unmasked_native,110,0.9982
WHEAT_SPRING_EXCL_DURUM,MN,unmasked_1km,110,0.996
WHEAT_SPRING_EXCL_DURUM,MN,archived,110,0.9795
