crop,feature_set,train_r2,test_r2,n_features,n_train,n_test,train_years,test_years
CORN,climate_only,0.832,0.397,6,9374,2196,2010-2021,2022-2024
CORN,climate_soil,0.904,0.627,10,9374,2196,2010-2021,2022-2024
CORN,climate_veg,0.913,0.692,10,9374,2196,2010-2021,2022-2024
CORN,all_features,0.933,0.753,14,9374,2196,2010-2021,2022-2024
OATS,climate_only,0.651,-0.036,6,2373,343,2010-2021,2022-2024
OATS,climate_soil,0.753,0.334,10,2373,343,2010-2021,2022-2024
OATS,climate_veg,0.732,0.289,10,2373,343,2010-2021,2022-2024
OATS,all_features,0.774,0.389,14,2373,343,2010-2021,2022-2024
SORGHUM,climate_only,0.834,0.159,6,965,169,2010-2021,2022-2024
SORGHUM,climate_soil,0.859,0.096,10,965,169,2010-2021,2022-2024
SORGHUM,climate_veg,0.865,0.254,10,965,169,2010-2021,2022-2024
SORGHUM,all_features,0.879,0.228,14,965,169,2010-2021,2022-2024
SOYBEANS,climate_only,0.814,0.462,6,8993,2098,2010-2021,2022-2024
SOYBEANS,climate_soil,0.898,0.702,10,8993,2098,2010-2021,2022-2024
SOYBEANS,climate_veg,0.904,0.699,10,8993,2098,2010-2021,2022-2024
SOYBEANS,all_features,0.926,0.769,14,8993,2098,2010-2021,2022-2024
WHEAT_SPRING_EXCL_DURUM,climate_only,0.765,0.29,6,1091,309,2010-2020,2021-2023
WHEAT_SPRING_EXCL_DURUM,climate_soil,0.807,0.478,10,1091,309,2010-2020,2021-2023
WHEAT_SPRING_EXCL_DURUM,climate_veg,0.817,0.547,10,1091,309,2010-2020,2021-2023
WHEAT_SPRING_EXCL_DURUM,all_features,0.838,0.589,14,1091,309,2010-2020,2021-2023
