crop,year,new,old,sse_change,n
CORN,2022,80311.8,103444.3,-23132.5,334
CORN,2023,71056.5,87447.9,-16391.4,310
CORN,2024,90249.0,109157.8,-18908.8,256
OATS,2022,18105.3,18112.9,-7.6,95
OATS,2023,17525.7,15565.7,1960.0,53
OATS,2024,4236.0,6180.9,-1944.9,8
SOYBEANS,2022,9026.3,12188.7,-3162.4,325
SOYBEANS,2023,8216.2,9605.3,-1389.1,301
SOYBEANS,2024,6409.5,8477.6,-2068.1,239
WHEAT_SPRING_EXCL_DURUM,2021,4858.9,4742.2,116.7,39
WHEAT_SPRING_EXCL_DURUM,2022,1525.1,2063.2,-538.1,35
WHEAT_SPRING_EXCL_DURUM,2023,3358.1,3342.2,15.9,36
